ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;Bunnie_mwh; Bunnie_price 
1242; 1; 18;[-0.2108; 45.3533];[7.1470; -28.5000];[31.7085; -33.8447]
1243; 1; 19;[-0.2313; 76.6121];[10.7656; -9.4500];[32.0293; -34.4975]
1244; 1; 20;[-0.1292; 61.4660];[9.8942; -14.2168];[31.2476; -35.8282]
1245; 1; 21;[-0.2073; 45.1919];[10.1553; -20.7401];[27.2311; -40.2540]
1246; 1; 22;[-0.1969; 40.9425];[14.6985; -31.4817];[27.1337; -32.5371]
1247; 1; 23;[-0.1949; 47.2599];[17.5189; -35.5965];[26.2986; -35.6369]
1248; 2; 0;[-0.2237; 33.3650];[17.5024; -32.8144];[35.2590; -32.8260]
1249; 2; 1;[-0.1992; 33.0821];[20.4591; -32.4871];[33.2042; -34.3180]
1250; 2; 2;[-0.1867; 38.1153];[17.0747; -26.5467];[33.9982; -28.7988]
1251; 2; 3;[-0.1923; 39.6689];[19.0269; -31.8541];[32.6908; -33.0654]
1252; 2; 4;[-0.2274; 40.8215];[23.6259; -31.4779];[33.8467; -31.3561]
1253; 2; 5;[-0.1890; 46.0353];[11.1330; -25.4528];[33.1638; -34.8588]
1254; 2; 6;[-0.2831; 51.6474];[4.7109; -31.5984];[25.3490; -33.3404]
1255; 2; 7;[-0.8380; 45.2966];[6.1767; -28.8989];[23.4022; -33.5816]
1256; 2; 8;[-1.3968; 45.4855];[10.2403; -26.8204];[41.4620; -37.5794]
1257; 2; 9;[-1.7087; 75.7670];[1.3611; -0.1050];[25.6920; -32.5139]
1258; 2; 10;[-2.1380; 62.8549];[7.0841; -29.2096];[14.2558; -33.2433]
1259; 2; 11;[-2.0097; 41.5267];[6.8923; -25.0455];[37.8243; -25.7417]
1260; 2; 12;[-2.0076; 63.7379];[8.6012; -31.6514];[32.9346; -33.2519]
1261; 2; 13;[-1.9219; 63.9185];[11.3855; -31.6134];[31.8832; -33.5098]
1262; 2; 14;[-1.1926; 75.5167];[11.3635; -19.7766];[35.8735; -29.7198]
1263; 2; 15;[-1.0823; 52.7754];[8.6640; -22.6806];[37.2407; -30.5660]
