ts; dow; hod;default broker_mwh; default broker_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
1123; 4; 19;[-0.1493; 46.0857];[-1.7290; 104.0623];[0.0000; 0.0000];[2.1615; -40.1657];[53.4246; -43.5417]
1124; 4; 20;[-0.1954; 36.6273];[0.0000; 0.0000];[0.0000; 0.0000];[0.5833; -184.4820];[43.0090; -40.1720]
1125; 4; 21;[-0.1810; 40.6189];[4.5861; -16.8416];[0.0000; 0.0000];[0.6358; -115.1903];[42.0206; -45.6856]
1126; 4; 22;[-0.1953; 33.0715];[0.0000; 0.0000];[0.0000; 0.0000];[0.3570; -21.6250];[43.5513; -36.0733]
1127; 4; 23;[-0.1537; 33.2684];[0.0000; 0.0000];[0.0000; 0.0000];[0.2858; 3.8048];[40.9672; -35.0031]
1128; 5; 0;[-0.2041; 35.6542];[2.8517; -18.5670];[0.0000; 0.0000];[0.3768; -97.1026];[46.1296; -35.4557]
1129; 5; 1;[-0.1934; 35.0331];[0.2649; -15.2022];[0.0000; 0.0000];[0.6705; -43.5280];[49.5767; -35.1458]
1130; 5; 2;[-0.1862; 28.2755];[1.2622; -3.8163];[0.0000; 0.0000];[0.9800; -21.9139];[48.2899; -29.8090]
1131; 5; 3;[-0.2054; 30.5394];[3.8337; -12.8723];[0.0000; 0.0000];[0.2501; -103.1006];[49.4791; -34.4184]
1132; 5; 4;[-0.1989; 31.7441];[1.2604; 7.0665];[0.0000; 0.0000];[0.1416; -48.4048];[54.4570; -35.7904]
1133; 5; 5;[-0.1133; 44.5976];[0.0000; 0.0000];[0.0000; 0.0000];[0.0890; 9.4663];[54.5133; -39.2223]
1134; 5; 6;[-0.1645; 32.6320];[5.1599; -20.8350];[0.0000; 0.0000];[0.0460; -550.2678];[65.1197; -35.4259]
1135; 5; 7;[-0.1707; 50.5540];[0.5465; -31.4038];[0.0000; 0.0000];[-0.1228; 107.4438];[5.4232; -33.2842]
1136; 5; 8;[-0.1443; 41.7244];[3.4675; -35.1976];[0.0000; 0.0000];[-0.4650; 89.0578];[59.6434; -39.5790]
1137; 5; 9;[-0.2540; 45.4706];[0.0000; 0.0000];[0.0000; 0.0000];[-0.6343; 43.6597];[55.9799; -39.9316]
1138; 5; 10;[-0.2476; 38.1532];[0.9450; -32.9399];[0.0000; 0.0000];[-0.7747; 69.5308];[32.5961; -37.5406]
1139; 5; 11;[-0.2462; 39.9336];[4.3927; -13.7115];[0.0000; 0.0000];[-0.6001; 47.0134];[47.5419; -39.1483]
1140; 5; 12;[-0.2354; 48.4641];[0.0000; 0.0000];[0.0000; 0.0000];[-2.9725; 56.1375];[32.0612; -34.0490]
1141; 5; 13;[-0.2593; 38.8441];[0.6997; 21.7999];[0.0000; 0.0000];[-2.6011; 24.3678];[44.8250; -34.9617]
1142; 5; 14;[-0.1785; 48.3062];[0.0000; 0.0000];[0.0000; 0.0000];[-3.4626; 40.4013];[47.2444; -21.2322]
1143; 5; 15;[-0.1939; 49.3331];[0.0000; 0.0000];[0.0000; 0.0000];[-2.8832; 82.3063];[49.4711; -23.2315]
1144; 5; 16;[-0.2346; 40.3958];[0.0000; 0.0000];[0.0000; 0.0000];[-2.1625; 35.5813];[53.0473; -37.5555]
1145; 5; 17;[-0.1594; 44.5626];[0.0000; 0.0000];[0.0000; 0.0000];[-2.0987; 33.6002];[48.0750; -36.3428]
1146; 5; 18;[-0.1183; 45.8041];[0.0000; 0.0000];[0.0000; 0.0000];[-2.0721; 42.1374];[53.2657; -41.0007]
1147; 5; 19;[-0.2046; 48.2702];[3.8626; 6.7087];[0.0000; 0.0000];[-2.0392; 66.8656];[49.7404; -37.6433]
1148; 5; 20;[-0.1340; 50.2456];[0.0000; 0.0000];[0.0000; 0.0000];[-2.0797; 71.3535];[45.0323; -34.7360]
1149; 5; 21;[-0.1381; 43.3255];[0.0000; 0.0000];[0.0000; 0.0000];[1.9529; -48.5706];[39.2034; -44.8260]
1150; 5; 22;[-0.2194; 36.4609];[0.0000; 0.0000];[0.0000; 0.0000];[1.9185; 21.0140];[40.2258; -39.2781]
1151; 5; 23;[-0.1563; 35.6779];[3.8328; -3.1454];[0.0000; 0.0000];[1.9128; 25.0503];[42.0341; -38.3262]
1152; 6; 0;[-0.1388; 35.9227];[0.0000; 0.0000];[0.0000; 0.0000];[2.3847; 16.5914];[53.2501; -30.2719]
1153; 6; 1;[-0.1647; 29.9813];[1.3719; 22.6897];[0.0000; 0.0000];[2.4985; 14.2130];[49.2487; -27.2130]
1154; 6; 2;[-0.2205; 30.7402];[2.2592; 28.8747];[0.0000; 0.0000];[2.5669; 7.5078];[49.0339; -30.0911]
