ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;VidyutVanika_mwh; VidyutVanika_price ;Bunnie_mwh; Bunnie_price 
1027; 5; 19;[0.0000; 0.0000];[0.3117; -22.1352];[5.0000; -31.0308];[16.9912; -34.8176];[5.8595; -36.1159]
1028; 5; 20;[0.0000; 0.0000];[0.6884; -20.5505];[5.0000; -39.2807];[35.3379; -39.6043];[7.4014; -62.8457]
1029; 5; 21;[0.0000; 0.0000];[0.6849; -29.4532];[5.0000; -27.3770];[31.4277; -30.8738];[5.7476; -32.3662]
1030; 5; 22;[0.0000; 0.0000];[0.5533; -33.2620];[5.0000; -34.0566];[27.2474; -32.9280];[1.6605; -45.8872]
1031; 5; 23;[0.0000; 0.0000];[0.5221; -29.4991];[9.4437; -28.1399];[25.6793; -27.1526];[1.3852; -95.2284]
1032; 6; 0;[0.0000; 0.0000];[0.5248; -28.2118];[12.4876; -27.9029];[23.8902; -26.5607];[1.4330; -26.2165]
1033; 6; 1;[0.0000; 0.0000];[0.6039; -29.6044];[5.0000; -19.7954];[22.1638; -23.5153];[1.6308; -84.3327]
1034; 6; 2;[0.0000; 0.0000];[0.8819; -28.7191];[3.9893; -17.6986];[22.0650; -24.5811];[1.7686; -95.5629]
1035; 6; 3;[-0.0102; 10.4087];[0.9805; -26.1392];[5.2975; -26.3627];[25.3295; -22.8497];[1.6756; -60.3520]
1036; 6; 4;[0.0000; 0.0000];[1.4341; -23.8548];[5.1943; -25.2714];[31.8028; -23.2892];[1.5369; -43.9164]
1037; 6; 5;[-0.0108; 34.1526];[1.4434; -31.2573];[0.0000; 0.0000];[36.3265; -29.8793];[2.0126; -80.1606]
1038; 6; 6;[0.0000; 0.0000];[1.5787; -15.5019];[0.0000; 0.0000];[33.5900; -35.3961];[1.6143; -95.5848]
1039; 6; 7;[0.0000; 0.0000];[2.4923; -32.5463];[5.0000; -29.8685];[41.8912; -31.2275];[2.1630; -77.7753]
1040; 6; 8;[-0.0128; 34.5608];[1.0822; -26.2653];[7.0742; -29.8133];[45.6656; -30.9072];[36.0855; -29.9574]
1041; 6; 9;[-0.0140; 42.8228];[1.1525; -37.0351];[-1.5245; 118.0033];[40.2691; -38.5120];[38.0778; -41.4975]
1042; 6; 10;[-0.0128; 37.3556];[1.2698; -32.1188];[5.0000; -19.9957];[37.8427; -34.1229];[34.1378; -35.8045]
1043; 6; 11;[0.0000; 0.0000];[1.2836; -14.7290];[-6.2067; 55.8936];[37.5714; -36.8453];[32.0788; -42.4592]
1044; 6; 12;[-0.0132; 42.2483];[1.3319; -27.0522];[5.0000; -40.1503];[37.4563; -31.1633];[33.0580; -36.1950]
