ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
408; 6; 0;[-0.0702; 29.7824];[6.5046; -29.9494];[0.0000; 0.0000];[16.9026; -27.9932];[39.8174; -29.8040]
409; 6; 1;[-0.1296; 33.1219];[6.3956; -35.9896];[0.0000; 0.0000];[10.0346; -32.5941];[39.0170; -32.6102]
410; 6; 2;[-0.0440; 28.7379];[8.9405; -29.9245];[0.0000; 0.0000];[4.6644; -11.4848];[55.6185; -28.4571]
411; 6; 3;[-0.1161; 29.7330];[10.5476; -28.8477];[0.0000; 0.0000];[5.1388; -29.7756];[45.4571; -27.7628]
412; 6; 4;[-0.1109; 33.6405];[13.7900; -31.5479];[2.5556; -6.2332];[5.5973; -35.3139];[53.2255; -33.4700]
413; 6; 5;[-0.1200; 31.7928];[9.6188; -21.3008];[2.3007; -0.4027];[6.8032; -39.6717];[48.9009; -36.5723]
414; 6; 6;[-0.3756; 30.6333];[9.7526; -23.7834];[2.0505; 4.8605];[9.3205; -41.0500];[46.1961; -36.6511]
415; 6; 7;[-1.3603; 38.5555];[9.3514; -27.1255];[0.0000; 0.0000];[10.7758; -39.9434];[51.4212; -36.1447]
416; 6; 8;[-1.5452; 30.1238];[10.1608; -24.1069];[0.0000; 0.0000];[12.9466; -39.6117];[45.2848; -36.7136]
417; 6; 9;[-2.0475; 37.4989];[11.7608; -34.6213];[0.0000; 0.0000];[15.2654; -28.8637];[45.0500; -33.8505]
418; 6; 10;[-2.4003; 39.4869];[10.4924; -22.4803];[0.0000; 0.0000];[17.1080; -40.3489];[39.5909; -42.8941]
419; 6; 11;[-2.5812; 33.6310];[10.0866; -26.6573];[0.0000; 0.0000];[14.0344; -39.1201];[40.7501; -36.9707]
420; 6; 12;[-2.6299; 58.5183];[0.0000; 0.0000];[0.0000; 0.0000];[15.8447; -49.8130];[6.8951; -33.6204]
421; 6; 13;[-2.2909; 44.0467];[13.8494; -31.0872];[2.3575; -14.7316];[17.3034; -39.9864];[43.1716; -37.5831]
422; 6; 14;[-3.1455; 38.9148];[6.3655; -20.0316];[0.0000; 0.0000];[18.1933; -44.1861];[30.6490; -40.5685]
423; 6; 15;[-1.0299; 40.9311];[14.1025; -34.2705];[0.5109; 133.1841];[18.0128; -34.2756];[38.2619; -38.6746]
424; 6; 16;[-0.6064; 38.9716];[17.8570; -30.5403];[-2.3477; 64.2432];[15.9651; -33.0703];[39.5749; -32.4232]
425; 6; 17;[-0.1842; 37.5889];[17.8591; -32.0253];[0.0000; 0.0000];[19.0182; -36.9379];[38.3138; -35.2546]
426; 6; 18;[-0.1120; 39.9153];[14.4942; -20.3899];[0.0000; 0.0000];[14.6865; -38.0819];[34.7234; -45.1775]
427; 6; 19;[-0.0927; 38.5963];[12.9630; -21.0126];[0.0000; 0.0000];[0.0000; 0.0000];[36.0054; -42.8709]
428; 6; 20;[-0.0959; 37.3625];[16.7313; -27.8759];[0.2839; -13.6454];[17.1016; -32.5079];[31.9001; -33.7067]
429; 6; 21;[-0.0940; 32.0802];[15.2709; -28.8060];[0.8707; 0.2026];[10.5460; -33.9440];[28.5572; -31.8107]
430; 6; 22;[-0.0936; 25.9384];[13.5940; -22.9436];[5.0000; -11.7038];[12.3166; -27.5524];[24.2014; -23.8116]
431; 6; 23;[-0.0823; 35.0013];[15.9873; -28.5008];[3.7198; -14.1100];[12.0121; -19.9858];[27.4116; -39.2850]
432; 7; 0;[-0.0956; 32.8020];[14.0774; -29.8391];[1.1700; -4.3558];[11.0244; -31.1789];[39.2416; -35.3040]
433; 7; 1;[-0.0894; 38.3900];[13.4099; -23.9237];[0.1079; 387.2894];[8.0137; -26.4878];[44.5450; -31.1180]
434; 7; 2;[-0.1013; 36.3337];[15.8084; -23.0293];[0.0124; 5245.7715];[8.4858; -21.9870];[43.2384; -30.1364]
435; 7; 3;[-0.0694; 32.1069];[18.1938; -29.1387];[0.7743; 99.9910];[8.1666; -26.1054];[44.8153; -36.0821]
436; 7; 4;[-0.0764; 27.3666];[20.5045; -25.4214];[3.5736; -0.3928];[10.0464; -28.5275];[45.5575; -28.1742]
437; 7; 5;[-0.0926; 33.5056];[19.0968; -31.1831];[0.6076; 150.4845];[11.2630; -39.0486];[30.1396; -38.9091]
438; 7; 6;[-0.2853; 32.3456];[24.2675; -29.3152];[0.5093; 108.0537];[15.2238; -35.4935];[37.1461; -37.4925]
