ts; dow; hod;default broker_mwh; default broker_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
1689; 2; 9;[-2.6504; 52.5253];[3.0155; -31.3719];[22.9172; -29.1707]
1690; 2; 10;[-3.4046; 59.3980];[0.0000; 0.0000];[27.1586; -29.9203]
1691; 2; 11;[-3.7678; 59.8987];[0.0000; 0.0000];[26.0871; -30.5403]
1692; 2; 12;[-3.7880; 59.8052];[0.0000; 0.0000];[24.2157; -31.1257]
1693; 2; 13;[-3.4489; 93.9685];[0.6664; -35.1068];[21.8998; -31.7482]
1694; 2; 14;[-2.8726; 59.7317];[0.5998; -39.6915];[18.6589; -32.2997]
1695; 2; 15;[-2.3666; 59.4019];[0.0000; 0.0000];[17.3373; -32.9056]
1696; 2; 16;[-1.4685; 59.4249];[0.0000; 0.0000];[15.4714; -33.4202]
1697; 2; 17;[-0.3974; 90.6560];[0.0000; 0.0000];[15.3581; -34.1237]
1698; 2; 18;[-0.2239; 118.1246];[1.2662; -39.3992];[13.1685; -34.3581]
1699; 2; 19;[-0.1996; 45.1237];[3.8401; -39.2114];[47.0641; -41.5004]
1700; 2; 20;[-0.1708; 59.6562];[5.6804; -41.6667];[18.0260; -35.6816]
1701; 2; 21;[-0.2040; 39.1238];[12.9616; -7.6479];[42.6540; -41.9616]
1702; 2; 22;[-0.1960; 36.2941];[16.4931; -19.1797];[46.8328; -41.0044]
1703; 2; 23;[-0.1991; 42.9675];[16.4931; -20.1014];[47.2336; -45.1557]
1704; 3; 0;[-0.1805; 40.7022];[16.4931; -43.6499];[24.4091; -24.4877]
1705; 3; 1;[-0.2139; 48.8432];[0.8330; -37.2757];[22.4542; -25.6706]
1706; 3; 2;[-0.0984; 45.3690];[16.4931; -43.7803];[47.4506; -35.4123]
1707; 3; 3;[-0.1302; 37.9102];[16.4931; -40.3639];[48.7476; -33.9083]
1708; 3; 4;[-0.1730; 48.8516];[7.2213; -31.6987];[9.3316; -26.8511]
1709; 3; 5;[-0.2104; 49.5533];[16.4931; -48.2941];[12.9684; -27.1363]
1710; 3; 6;[-0.4120; 51.0623];[0.0000; 0.0000];[10.7914; -28.8466]
1711; 3; 7;[-1.3936; 51.3674];[1.7493; -38.6205];[9.3227; -26.6322]
1712; 3; 8;[-2.3468; 105.0139];[1.5744; -29.2155];[9.2177; -28.6827]
1713; 3; 9;[-2.9640; 59.4906];[1.4169; -31.9450];[8.2895; -29.9345]
1714; 3; 10;[-3.6765; 132.7760];[0.1413; -41.6667];[8.7602; -29.6580]
1715; 3; 11;[-4.0946; 104.9370];[0.0000; 0.0000];[8.0171; -30.0559]
1716; 3; 12;[-3.9880; 90.1875];[0.0000; 0.0000];[8.0335; -31.2412]
1717; 3; 13;[-3.7268; 59.6331];[0.0000; 0.0000];[8.0608; -32.1552]
1718; 3; 14;[-2.7830; 59.5514];[0.0000; 0.0000];[8.0852; -32.7101]
1719; 3; 15;[-1.7497; 59.0272];[0.0000; 0.0000];[7.0960; -32.8828]
1720; 3; 16;[-1.0542; 58.1096];[0.0000; 0.0000];[6.4993; -33.4063]
1721; 3; 17;[-0.2941; 56.1834];[0.0000; 0.0000];[4.5192; -34.1631]
1722; 3; 18;[-0.1955; 54.0912];[6.8306; -41.6667];[3.3194; -34.3086]
1723; 3; 19;[-0.2086; 42.5170];[0.0000; 0.0000];[15.3350; -40.3019]
1724; 3; 20;[-0.2105; 132.7757];[0.0000; 0.0000];[7.3651; -36.5424]
1725; 3; 21;[-0.2234; 40.1274];[16.4931; -49.5817];[33.1629; -42.2594]
1726; 3; 22;[-0.2060; 57.8372];[0.0000; 0.0000];[9.9173; -35.7943]
1727; 3; 23;[-0.2056; 40.9566];[16.4931; -48.8907];[41.6058; -43.0510]
1728; 4; 0;[-0.1945; 46.5396];[16.4931; -44.7812];[52.3706; -38.7198]
1729; 4; 1;[-0.0970; 45.9675];[16.4931; -46.2730];[7.0941; -30.0007]
1730; 4; 2;[-0.1149; 46.7195];[16.4931; -45.9283];[52.2749; -38.7463]
1731; 4; 3;[-0.1878; 45.7733];[16.4931; -46.2952];[54.7900; -39.3944]
1732; 4; 4;[-0.1416; 47.8489];[16.4931; -46.0272];[54.0393; -39.4186]
1733; 4; 5;[-0.2338; 52.4888];[0.0000; 0.0000];[7.7855; -29.2774]
1734; 4; 6;[-0.3674; 63.7787];[0.0000; 0.0000];[2.0102; -34.0567]
1735; 4; 7;[-1.1403; 92.8871];[0.0000; 0.0000];[1.8274; -34.2744]
1736; 4; 8;[-1.9138; 60.0588];[5.2479; -39.5819];[1.6615; -34.5083]
1737; 4; 9;[-2.9008; 106.6841];[8.3050; -37.5491];[1.4640; -34.7906]
1738; 4; 10;[-3.6351; 150.9225];[9.4737; -33.7703];[1.3325; -35.0401]
1739; 4; 11;[-3.8313; 60.6467];[2.7989; -40.4614];[7.1632; -31.9526]
1740; 4; 12;[-3.1533; 106.9321];[0.2249; -41.2095];[8.7530; -32.3825]
1741; 4; 13;[-3.1697; 92.2439];[0.0000; 0.0000];[10.1732; -32.9157]
1742; 4; 14;[-2.7296; 59.7096];[0.2083; -36.1547];[5.7176; -33.3279]
1743; 4; 15;[-2.2970; 106.2982];[0.0000; 0.0000];[6.5577; -33.6487]
1744; 4; 16;[-1.3086; 59.7819];[0.0000; 0.0000];[8.2357; -34.4651]
1745; 4; 17;[-0.3779; 61.1556];[0.0000; 0.0000];[7.3900; -34.9008]
1746; 4; 18;[-0.1922; 62.3620];[0.0833; -38.3864];[6.6445; -35.2717]
1747; 4; 19;[-0.1835; 65.0220];[0.0000; 0.0000];[6.0341; -35.7461]
1748; 4; 20;[-0.1861; 62.9755];[0.0000; 0.0000];[5.8735; -36.1151]
1749; 4; 21;[-0.1335; 46.9494];[0.7497; -41.6044];[36.0764; -43.6452]
1750; 4; 22;[-0.2089; 47.8523];[16.4931; -48.9176];[32.3370; -43.6675]
1751; 4; 23;[-0.2119; 46.0835];[16.4931; -35.2924];[38.8406; -51.0635]
1752; 5; 0;[-0.2092; 46.7394];[16.4931; -44.5413];[9.0868; -32.0743]
1753; 5; 1;[-0.1570; 47.7876];[2.0991; -34.6129];[65.6395; -38.8410]
1754; 5; 2;[-0.2003; 46.4979];[16.4931; -44.6286];[57.4433; -38.6610]
1755; 5; 3;[-0.1495; 47.1944];[16.4931; -43.8103];[7.0229; -32.9478]
1756; 5; 4;[-0.1656; 47.7804];[16.4931; -39.8020];[61.6599; -37.8325]
1757; 5; 5;[-0.1886; 30.9892];[16.4931; -27.6983];[55.4630; -36.3292]
1758; 5; 6;[-0.2805; 64.0224];[9.7094; -38.5782];[11.4090; -30.4726]
1759; 5; 7;[-0.9676; 54.3154];[9.7178; -36.0074];[11.6363; -30.4884]
1760; 5; 8;[-1.5848; 61.2284];[8.5941; -34.9377];[17.9388; -31.1661]
1761; 5; 9;[-2.4326; 53.7260];[16.4931; -48.1082];[27.8285; -31.3179]
1762; 5; 10;[-2.8170; 60.8953];[0.0000; 0.0000];[27.4917; -31.8462]
1763; 5; 11;[-2.9628; 93.1727];[0.0000; 0.0000];[27.2428; -32.4595]
1764; 5; 12;[-3.1286; 93.3659];[0.0000; 0.0000];[26.1677; -32.9921]
1765; 5; 13;[-2.7053; 108.0646];[2.2491; -33.7031];[23.5751; -33.4177]
1766; 5; 14;[-2.3103; 53.9260];[0.0000; 0.0000];[22.3968; -33.8093]
1767; 5; 15;[-1.7206; 53.6444];[0.0000; 0.0000];[21.6282; -34.3123]
1768; 5; 16;[-0.7650; 61.3745];[0.0000; 0.0000];[16.6785; -34.6459]
1769; 5; 17;[-0.2509; 54.6396];[16.4684; -39.8204];[9.1976; -34.5591]
1770; 5; 18;[-0.1677; 56.0906];[7.1638; -36.9427];[22.3271; -35.9033]
1771; 5; 19;[-0.1589; 46.0216];[13.9111; -25.0481];[54.1640; -39.2280]
1772; 5; 20;[-0.2553; 58.1514];[0.0000; 0.0000];[32.7506; -36.8755]
1773; 5; 21;[-0.2793; 37.7514];[16.4931; -16.8140];[47.1021; -43.5232]
1774; 5; 22;[-0.2842; 38.4912];[16.4931; -21.4189];[48.1834; -40.6170]
1775; 5; 23;[-0.2571; 35.7295];[10.1270; -20.3402];[51.7776; -43.1059]
1776; 6; 0;[-0.1312; 30.7680];[16.4931; -32.3570];[58.9206; -29.7841]
1777; 6; 1;[-0.2238; 32.7033];[16.4931; -27.3721];[66.3203; -28.4174]
1778; 6; 2;[-0.1474; 30.0383];[16.4931; -35.6474];[55.7167; -33.0685]
1779; 6; 3;[-0.1879; 30.3567];[16.4931; -39.8710];[60.5168; -34.6111]
1780; 6; 4;[-0.2355; 35.3886];[16.4931; -40.6568];[66.3823; -34.9833]
1781; 6; 5;[-0.2383; 36.9597];[16.4931; -44.1720];[58.6930; -36.9400]
1782; 6; 6;[-0.3527; 51.5233];[2.1025; -36.3542];[13.9631; -32.5848]
1783; 6; 7;[-1.2401; 45.8222];[16.4931; -44.9611];[12.6791; -32.6539]
1784; 6; 8;[-1.8080; 52.9682];[16.4931; -48.4164];[12.8964; -32.9410]
1785; 6; 9;[-3.0704; 59.8332];[0.8330; -41.6667];[8.2391; -32.7347]
1786; 6; 10;[-3.4099; 53.0337];[1.5827; -37.0976];[10.4457; -33.1890]
1787; 6; 11;[-4.2135; 60.2190];[0.0000; 0.0000];[10.8254; -33.4704]
1788; 6; 12;[-4.2135; 53.3193];[0.0000; 0.0000];[9.8719; -33.6494]
1789; 6; 13;[-3.8751; 60.3828];[0.0000; 0.0000];[10.5579; -34.1632]
1790; 6; 14;[-2.6627; 61.0485];[0.0000; 0.0000];[7.7316; -34.4666]
1791; 6; 15;[-1.8969; 40.5866];[16.4931; -48.0135];[17.1407; -38.3526]
1792; 6; 16;[-0.8806; 53.1280];[14.6962; -49.6700];[4.8149; -34.8301]
1793; 6; 17;[-0.3946; 52.2397];[0.0000; 0.0000];[3.3919; -34.6367]
1794; 6; 18;[-0.2941; 53.1186];[16.4931; -48.3456];[2.4174; -35.5334]
1795; 6; 19;[-0.2459; 62.9852];[0.0750; -36.9956];[2.1757; -35.8989]
1796; 6; 20;[-0.2416; 44.7751];[16.4931; -49.5362];[30.9332; -44.3389]
1797; 6; 21;[-0.1927; 60.1946];[0.1666; -41.6667];[3.4128; -31.9951]
1798; 6; 22;[-0.1669; 43.9928];[1.1953; -24.7822];[48.3429; -46.9730]
1799; 6; 23;[-0.1095; 34.7508];[16.4931; -40.4855];[48.9111; -41.6316]
1800; 7; 0;[-0.1013; 46.7529];[0.0000; 0.0000];[52.0244; -39.1779]
1801; 7; 1;[-0.0309; 33.1170];[0.0712; -34.9432];[61.8531; -36.0786]
1802; 7; 2;[-0.1222; 34.4940];[16.4931; -37.1219];[58.4007; -35.4337]
1803; 7; 3;[-0.0861; 47.2420];[16.4931; -46.7738];[46.8056; -39.6160]
1804; 7; 4;[-0.1181; 47.8103];[16.4931; -45.9213];[50.7555; -40.8299]
1805; 7; 5;[-0.2363; 46.1687];[16.4931; -43.3308];[52.3183; -38.8635]
1806; 7; 6;[-0.3392; 54.1766];[0.0000; 0.0000];[3.9019; -31.8753]
1807; 7; 7;[-1.1916; 54.6457];[0.0000; 0.0000];[10.2015; -30.7493]
1808; 7; 8;[-2.3328; 61.6667];[0.0000; 0.0000];[9.4907; -31.0832]
1809; 7; 9;[-2.9827; 61.0446];[1.2603; -31.5261];[8.1514; -31.4852]
1810; 7; 10;[-3.4471; 61.3025];[0.0000; 0.0000];[7.6375; -31.8732]
1811; 7; 11;[-3.8068; 101.6097];[0.0000; 0.0000];[6.5740; -32.2784]
1812; 7; 12;[-3.0091; 86.7069];[0.0000; 0.0000];[5.9424; -32.6706]
1813; 7; 13;[-2.7841; 101.5612];[0.0000; 0.0000];[5.3208; -33.0931]
1814; 7; 14;[-2.5269; 61.7421];[0.6664; -41.6667];[4.7769; -33.5128]
1815; 7; 15;[-2.3155; 61.7923];[2.8489; -38.9220];[4.2896; -33.9278]
1816; 7; 16;[-1.3855; 103.0429];[1.9409; -40.7954];[4.3897; -34.4736]
1817; 7; 17;[-0.4162; 60.5039];[0.6747; -36.3212];[4.5736; -35.0238]
1818; 7; 18;[-0.2265; 94.6451];[0.0000; 0.0000];[4.6823; -35.5367]
1819; 7; 19;[-0.1733; 127.1084];[0.0000; 0.0000];[4.2511; -35.8856]
1820; 7; 20;[-0.2202; 131.6342];[0.0000; 0.0000];[3.4726; -36.0620]
1821; 7; 21;[-0.1489; 87.2592];[0.0000; 0.0000];[8.1972; -37.3700]
1822; 7; 22;[-0.1398; 59.5158];[0.0000; 0.0000];[9.1268; -37.7281]
1823; 7; 23;[-0.2247; 44.4994];[16.4931; -49.8716];[37.3645; -44.1464]
1824; 1; 0;[-0.1576; 54.3380];[16.4931; -46.8576];[6.4328; -31.0812]
1825; 1; 1;[-0.1517; 62.0402];[0.6664; -41.6667];[13.7837; -32.7712]
1826; 1; 2;[-0.0632; 47.9760];[16.4931; -36.3498];[49.8122; -38.0510]
1827; 1; 3;[-0.0741; 46.3220];[16.4931; -47.8214];[17.2718; -32.9129]
1828; 1; 4;[-0.0562; 53.4188];[5.3312; -40.0744];[20.5260; -32.7693]
1829; 1; 5;[-0.0687; 90.7765];[4.7981; -36.6086];[23.9667; -33.1293]
1830; 1; 6;[-0.3339; 62.8223];[2.9988; -40.6731];[22.5014; -33.4243]
1831; 1; 7;[-1.3241; 114.7527];[5.6977; -39.2274];[22.2695; -33.7278]
1832; 1; 8;[-2.1344; 97.9747];[6.4650; -36.2023];[24.1424; -33.5677]
1833; 1; 9;[-2.7901; 98.0319];[1.2495; -41.6667];[29.2111; -31.0550]
1834; 1; 10;[-2.5896; 96.3338];[3.6652; -41.6667];[27.9590; -33.3228]
1835; 1; 11;[-3.0930; 181.2498];[6.0476; -41.5510];[25.1631; -33.7152]
1836; 1; 12;[-2.9287; 139.3696];[0.0000; 0.0000];[30.8809; -33.6575]
1837; 1; 13;[-2.4963; 123.9400];[0.0000; 0.0000];[32.2077; -33.9363]
1838; 1; 14;[-2.0062; 181.9450];[1.7243; -36.6227];[22.4461; -34.8899]
1839; 1; 15;[-1.6050; 124.7999];[1.9159; -37.3151];[29.8331; -34.2643]
1840; 1; 16;[-1.0938; 60.9041];[1.9159; -41.6667];[30.2407; -34.7856]
1841; 1; 17;[-0.3472; 81.7970];[2.7489; -41.6667];[29.8188; -35.0613]
1842; 1; 18;[-0.0982; 60.7550];[4.5565; -38.8274];[27.7560; -35.6059]
1843; 1; 19;[-0.1255; 48.4202];[3.2903; -37.7204];[31.1444; -35.5658]
1844; 1; 20;[-0.1687; 56.8280];[2.2269; -41.6667];[33.5009; -36.0475]
1845; 1; 21;[-0.1227; 41.6073];[2.3197; -41.6667];[38.8079; -37.5876]
1846; 1; 22;[-0.1294; 42.2423];[0.0000; 0.0000];[42.3947; -38.5665]
1847; 1; 23;[-0.0733; 53.9526];[9.0702; -9.9339];[46.4761; -42.1961]
1848; 2; 0;[-0.1261; 51.6208];[16.4931; -46.4739];[25.6913; -28.7047]
1849; 2; 1;[-0.1057; 41.9053];[16.4931; -32.6654];[56.3204; -32.9097]
1850; 2; 2;[-0.1555; 54.6214];[1.5624; -38.2132];[28.9836; -29.4275]
1851; 2; 3;[-0.1478; 45.6193];[16.4931; -42.9160];[60.5293; -37.4551]
1852; 2; 4;[-0.1471; 48.8470];[5.9393; -30.9930];[30.6442; -29.8316]
1853; 2; 5;[-0.1393; 65.6035];[8.4884; -37.0424];[29.8312; -30.2042]
1854; 2; 6;[-0.2953; 61.7360];[5.9310; -31.2891];[26.3912; -30.8324]
